Kind,Name,CountLineCode,MaxCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclMethodAll,CountDeclInstanceMethod,MaxInheritanceTree,CountDeclMethod,CountDeclInstanceVariable,PercentLackOfCohesion
File,"DontOverrideSuiteNameTest.java",10,1,,,,,1,,1,1,
File,"DotTestListener.java",24,2,,,,,4,,4,1,
File,"DummyTest.java",30,1,,,,,4,,5,0,
File,"DummyTest2.java",15,1,,,,,2,,2,1,
File,"DuplicateDataProviderSampleTest.java",16,1,,,,,3,,3,0,
File,"DynamicGraph.java",129,9,,,,,14,,15,8,
File,"DynamicGraphTest.java",52,1,,,,,2,,3,0,
File,"EclipseTest.java",10,1,,,,,1,,1,0,
File,"EdnTest.java",11,1,,,,,2,,2,0,
File,"EmailableReportDriver.java",27,1,,,,,5,,5,0,
File,"EmailableReporter.java",417,22,,,,,23,,23,4,
File,"ExactComparisonCriteria.java",8,1,,,,,1,,1,0,
File,"ExampleSingleton.java",6,1,,,,,1,,1,0,
File,"Exclude.java",42,2,,,,,5,,6,4,
File,"ExecutorAdapter.java",48,2,,,,,5,,5,1,
File,"ExitCodeListener.java",10,1,,,,,2,,2,0,
File,"ExpectedExceptions.java",8,0,,,,,1,,1,0,
File,"ExpectedExceptionsAnnotation.java",15,1,,,,,2,,2,1,
File,"ExpectedExceptionsHolder.java",9,1,,,,,1,,1,2,
File,"ExpectedExceptionsTest.java",19,1,,,,,2,,2,0,
File,"ExponentTest.java",31,1,,,,,4,,5,0,
File,"ExtendsClassWithFailedBeforeClassMethod.java",7,1,,,,,1,,1,0,
File,"ExtendsClassWithFailedBeforeMethod.java",11,1,,,,,2,,2,0,
File,"ExternalConfigurationClass.java",43,1,,,,,5,,5,0,
File,"ExtraOutput.java",12,1,,,,,1,,1,1,
File,"Factory.java",11,0,,,,,3,,3,0,
File,"Factory2Test.java",12,1,,,,,1,,2,0,
File,"FactoryAnnotation.java",32,1,,,,,6,,6,3,
File,"FactoryBase.java",10,1,,,,,1,,1,0,
File,"FactoryBaseSampleTest.java",6,1,,,,,1,,1,0,
