Kind,Name,CountLineCode,MaxCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclMethodAll,CountDeclInstanceMethod,MaxInheritanceTree,CountDeclMethod,CountDeclInstanceVariable,PercentLackOfCohesion
File,"Class2.java",16,1,,,,,6,,6,0,
File,"Class3.java",20,1,,,,,6,,6,0,
File,"ClassA.java",8,1,,,,,2,,2,0,
File,"ClassA.java",46,1,,,,,10,,10,0,
File,"ClassASample.java",22,1,,,,,4,,4,1,
File,"ClassB.java",10,1,,,,,3,,3,0,
File,"ClassB.java",34,1,,,,,7,,7,0,
File,"ClassBSample.java",12,1,,,,,2,,2,0,
File,"ClassBasedParallelWorker.java",100,6,,,,,2,,8,0,
File,"ClassC.java",10,1,,,,,3,,3,0,
File,"ClassConfigurations.java",36,1,,,,,6,,6,0,
File,"ClassContainer.java",9,1,,,,,2,,2,0,
File,"ClassDataProviderSample.java",12,1,,,,,3,,3,0,
File,"ClassDependsOnGroups.java",25,1,,,,,2,,2,0,
File,"ClassHelper.java",259,12,,,,,1,,16,0,
File,"ClassHelperTest.java",132,3,,,,,8,,13,0,
File,"ClassImpl.java",153,6,,,,,13,,14,11,
File,"ClassInGroupB.java",9,1,,,,,2,,2,0,
File,"ClassInfoMap.java",62,4,,,,,9,,9,2,
File,"ClassInstanceMethodKey.java",26,3,,,,,3,,3,3,
File,"ClassListenerSample.java",10,1,,,,,2,,2,0,
File,"ClassMethodListenersHolder.java",56,2,,,,,8,,8,0,
File,"ClassMethodMap.java",56,4,,,,,5,,5,3,
File,"ClassObjectFactory.java",13,2,,,,,1,,1,0,
File,"ClassObjectFactorySampleTest.java",14,1,,,,,2,,2,0,
File,"ClassRuleJUnit4Sample.java",22,1,,,,,3,,3,0,
File,"ClassSample.java",26,1,,,,,4,,5,1,
File,"ClassSample.java",13,1,,,,,2,,2,1,
File,"ClassSampleFactory.java",12,2,,,,,1,,1,0,
File,"ClassScopeTest.java",13,1,,,,,2,,2,1,
File,"ClassWide1Test.java",17,1,,,,,2,,3,0,
File,"ClassWide2Test.java",9,1,,,,,1,,1,0,
File,"ClassWithFailedBeforeClassMethod.java",14,1,,,,,3,,3,0,
